year,surface,2ndRnWon%,svWon%,1stRnWon%,outcome,2ndRnWon%player_w,2ndRnWon%player_l,2ndRnWon%opponent_w,2ndRnWon%opponent_l,2ndRnWon%playerCommon_w,2ndRnWon%playerCommon_l,2ndRnWon%opponentCommon_w,2ndRnWon%opponentCommon_l,2ndRnWon%pVariance_w,2ndRnWon%pVariance_l,2ndRnWon%oVariance_w,2ndRnWon%oVariance_l,2ndRnWon%pCommonVar_w,2ndRnWon%pCommonVar_l,2ndRnWon%oCommonVar_w,2ndRnWon%oCommonVar_l,1stRnWon%player_w,1stRnWon%player_l,1stRnWon%opponent_w,1stRnWon%opponent_l,1stRnWon%playerCommon_w,1stRnWon%playerCommon_l,1stRnWon%opponentCommon_w,1stRnWon%opponentCommon_l,1stRnWon%pVariance_w,1stRnWon%pVariance_l,1stRnWon%oVariance_w,1stRnWon%oVariance_l,1stRnWon%pCommonVar_w,1stRnWon%pCommonVar_l,1stRnWon%oCommonVar_w,1stRnWon%oCommonVar_l,svWon%player_w,svWon%player_l,svWon%opponent_w,svWon%opponent_l,svWon%playerCommon_w,svWon%playerCommon_l,svWon%opponentCommon_w,svWon%opponentCommon_l,svWon%pVariance_w,svWon%pVariance_l,svWon%oVariance_w,svWon%oVariance_l,svWon%pCommonVar_w,svWon%pCommonVar_l,svWon%oCommonVar_w,svWon%oCommonVar_l
2008,0,0.489361702,0.723214286,0.28358209,1,0.552353032,0.263232862,0.526618487,0.289022261,0.571428571,0.253140097,0.5,0.3642245,0.011654513,0.011503556,0.009157615,0.004851401,0,0.001277976,0,0.004233696,0.303115066,0.18789553,0.400667977,0.221569012,0.316666667,0.197826087,0.459459459,0.213740213,0.009360319,0.002842709,0.001841457,0.005162535,0,4.73E-06,0,0.000752378,0.716896574,0.53029692,0.691050881,0.581456564,0.75,0.535714286,0.681818182,0.573744589,0.003323711,0.005814699,0.004006354,0.002244336,0,0.00127551,0,0.000908996
2008,0,0.178571429,0.504854369,0.267857143,0,0.587202351,0.310955523,0.527069984,0.282954729,0.551724138,0.332156165,0.576605638,0.397590361,0.001628306,0.010242446,0.006618492,0.009943859,0,0.005036762,0.002747672,0,0.308747898,0.266854298,0.357139484,0.271406607,0.34,0.238066202,0.383273087,0.361445783,0.003880963,0.002273213,0.006069022,0.004980019,0,0.00062324,0.010442222,0,0.65562466,0.563563109,0.701330397,0.577700753,0.704545455,0.563026021,0.680642449,0.56,0.003032369,0.001090286,0.004114087,0.00471014,0,0.001778967,0.002537477,0
2008,0,0.538461538,0.611111111,0.346534653,1,0.570516545,0.269484841,0.602685856,0.299595667,0.587519936,0.265466351,0.628571429,0.241977681,0.010450259,0.009866137,0.002365987,0.012371376,0.000682068,0.011651322,0,0.002986041,0.342632557,0.284496229,0.366891962,0.242923532,0.232965257,0.285917809,0.431034483,0.206423588,0.007504627,0.006022589,0.004104267,0.003504178,0.000408012,0.002586507,0,0.003510058,0.673278129,0.510356741,0.662208161,0.561191318,0.664888211,0.510399391,0.662790698,0.570243615,0.005353069,0.004863563,0.002521296,0.002713178,0.000511293,0.006685021,0,0.003060664
2008,0,0.268292683,0.511111111,0.195121951,0,0.580924206,0.406957219,0.528472637,0.245691833,0.6,0.429662118,0.474721941,0.147368421,0.005353063,0.021901277,0.003301314,0.006540244,0,0.024514718,0.006958495,0,0.371812568,0.246415066,0.283162668,0.259051818,0.423076923,0.281899773,0.323076923,0.284210526,0.005616331,0.004498722,0.004982557,0.00120776,0,0.011416283,0.00591716,0,0.658384888,0.551997038,0.709836469,0.569474912,0.584745763,0.500536488,0.661301561,0.568493151,0.004331843,0.003984321,0.003295497,0.003535141,0,0.00094062,0.003582296,0
2008,0,0.192307692,0.522727273,0.307692308,0,0.575643311,0.256561138,0.527658851,0.266432142,0.916666667,0.304328083,0.6,0.276648082,0.013896313,0.008973375,0.007274873,0.009294834,0,0.004728823,0,0.006333437,0.381543074,0.259839863,0.323779383,0.267442939,0.666666667,0.296466582,0.283950617,0.279129487,0.011367148,0.004011659,0.00252474,0.004968413,0,7.94E-06,0,0.005096357,0.707383887,0.584417304,0.672127645,0.550544337,0.724137931,0.542243504,0.685950413,0.540140059,0.000865154,0.003362512,0.002965235,0.002964671,0,0.00070351,0,0.004586104
2008,0,0.2,0.576642336,0.253333333,0,0.607843137,0.294318182,0.568828776,0.322905192,0.607843137,0.26875,0.633333333,0.256410256,0,0.004458506,0.007013509,0.010794912,0,0.004726563,0,0.00591716,0.293478261,0.248051948,0.35927817,0.256882003,0.293478261,0.235714286,0.224489796,0.228205128,0,0.001154776,0.007832657,0.002888973,0,0.00127551,0,0.000795529,0.714285714,0.551489476,0.683759971,0.576869236,0.714285714,0.579486466,0.823529412,0.46875,0,0.005192656,0.002835942,0.003828873,0,0.00543749,0,0.003164063
2008,0,0.638888889,0.767123288,0.222222222,1,0.554376065,0.326397215,0.537766959,0.252697318,0.534333136,0.325200272,0.553266518,0.232939065,0.006192961,0.017987881,0.004328405,0.009926385,0.005655252,0.010061666,0.004187763,0.013264783,0.387170763,0.265069794,0.327386594,0.209722585,0.339809549,0.249703878,0.33430509,0.189561227,0.008933637,0.003798688,0.004071837,0.002495549,0.005197525,0.003821414,0.005159362,0.002462275,0.673449149,0.586020975,0.691547098,0.593299775,0.662721169,0.579677827,0.680554885,0.583242536,0.003360635,0.002915635,0.002921515,0.002318372,0.00242528,0.003774105,0.001175315,0.003433495
2008,0,0.463414634,0.443181818,0.219512195,0,0.560956929,0.3382349,0.499010837,0.225401165,0.511540301,0.280882353,0.508848621,0.251727804,0.004161359,0.009322013,0.00463696,0.011662396,0.001807419,0.002858997,0.008496755,0.001697563,0.321722728,0.231632041,0.346499336,0.243193964,0.293172691,0.220915033,0.356071917,0.249069644,0.003784794,0.002946593,0.002966764,0.005403288,0.001612877,0.003271391,0.003944833,1.19E-05,0.676994243,0.589579771,0.674033493,0.587307827,0.656994589,0.616381897,0.683455433,0.617157402,0.00235662,0.001876712,0.006158578,0.008945941,3.73E-05,0.001247527,0.018326386,0.001686782
2008,0,0.25,0.487179487,0.358695652,0,0.595613133,0.346633924,0.556823209,0.268685607,0.599212539,0.34097271,0.542326647,0.240316891,0.007214574,0.032025997,0.004509017,0.007104212,0.006778765,0.018831526,0.005420587,0.00743045,0.396841355,0.276145566,0.348690666,0.23342711,0.394115309,0.321837086,0.364344959,0.258507048,0.006382133,0.005724098,0.007546651,0.00433118,0.005322738,0.005402855,0.023738196,0.005981298,0.657066568,0.539554312,0.675085274,0.552031895,0.640511985,0.522192456,0.692500144,0.577335026,0.004678601,0.003588992,0.002524345,0.004035268,0.002288796,0.001379314,0.001603683,0.00281972
2008,0,0.476190476,0.642857143,0.552631579,1,0.503864577,0.333698585,0.568928078,0.284135991,0.468045113,0.4543379,0.47826087,0.244397759,0.007595887,0.011228078,0.00429893,0.011047311,0.01229931,0.014642105,0,0.014929828,0.355057599,0.217578334,0.320979235,0.26912221,0.322892587,0.16347032,0.402777778,0.255935708,0.005717407,0.00776395,0.005913329,0.006376778,6.27E-06,0.009370947,0,0.002021246,0.705080278,0.576729239,0.632824044,0.510939891,0.68203252,0.634353741,0.596638655,0.525889427,0.002853617,0.010957584,0.001326898,0.002079948,0.000127708,7.23E-05,0,0.002490232
