player1,player2
Novak Djokovic,Philipp Kohlschreiber
Denis Kudla,Malek Jaziri
Leonardo Mayer,Ernests Gulbis
Hubert Hurkacz,Dusan Lajovic
Felix Auger Aliassime,Vasek Pospisil
Corentin Moutet,Grigor Dimitrov
Marcel Granollers,Lorenzo Sonego
Ugo Humbert,Gael Monfils
Daniil Medvedev,Paolo Lorenzi
Alexei Popyrin,Pablo Carreno Busta
Jeremy Chardy,Martin Klizan
David Goffin,Bradley Klahn
Kyle Edmund,Jaume Munar
Fernando Verdasco,Kamil Majchrzak
Ivo Karlovic,Andrea Arnaboldi
Thomas Fabbiano,Stefanos Tsitsipas
Kevin Anderson,Pierre Hugues Herbert
Janko Tipsarevic,Yoshihito Nishioka
Andreas Seppi,Nicolas Jarry
Guido Pella,Marius Copil
Stan Wawrinka,Ruben Bemelmans
Reilly Opelka,Cedrik Marcel Stebe
Robin Haase,Jozef Kovalik
Milos Raonic,Prajnesh Gunneswaran
Karen Khachanov,Soon Woo Kwon
Feliciano Lopez,Marcos Giron
Steve Darcis,Mischa Zverev
Roberto Bautista Agut,Peter Gojowczyk
Benoit Paire,Juan Ignacio Londero
Miomir Kecmanovic,Roberto Carballes Baena
Pablo Cuevas,Damir Dzumhur
Jiri Vesely,Alexander Zverev
Sam Querrey,Dominic Thiem
Andrey Rublev,Christian Garin
John Millman,Hugo Dellien
Laslo Djere,Guido Andreozzi
Gilles Simon,Salvatore Caruso
Tennys Sandgren,Yasutaka Uchiyama
Marton Fucsovics,Dennis Novak
Fabio Fognini,Frances Tiafoe
Marin Cilic,Adrian Mannarino
Joao Sousa,Paul Jubb
Daniel Evans,Federico Delbonis
Nikoloz Basilashvili,James Ward
Ricardas Berankis,Denis Shapovalov
Jo-Wilfried Tsonga,Bernard Tomic
Nick Kyrgios,Jordan Thompson
Rafael Nadal,Yuichi Sugita
Kei Nishikori,Thiago Monteiro
Cameron Norrie,Denis Istomin
Steve Johnson,Albert Ramos
Alex De Minaur,Marco Cecchinato
Jan Lennard Struff,Radu Albot
Taylor Fritz,Tomas Berdych
Mikhail Kukushkin,Pablo Andujar
John Isner,Casper Ruud
Matteo Berrettini,Aljaz Bedene
Marcos Baghdatis,Brayden Schnur
Dominik Koepfer,Filip Krajinovic
Diego Schwartzman,Matthew Ebden
Lucas Pouille,Richard Gasquet
Gregoire Barrere,Alexander Bublik
Jay Clarke,Noah Rubin
Roger Federer,Lloyd Harris
